I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION,,
10373,,2016,9,28,16,49,1,8,5.5,5.5,,,,,,4,NICARAGUA,,NICARAGUA:  LEON,12.442,-86.515,100,1,1,,,5,1,,2,6,1,487,3,1,1,,,5,1,,2,6,1,487,3,,
10229,,2016,10,1,8,4,33,10,5.4,,,5.4,,,,2,PAKISTAN,,PAKISTAN:  MANSEHRA, NARAN,34.905,73.682,60,1,1,,,,2,,1,,2,,,1,1,,,,2,,1,,2,,,
10200,,2016,10,21,5,8,39,6,6.2,6.2,,,,,,6,JAPAN,,JAPAN:  KURAYOSHI,35.374,133.809,30,,,,,7,1,100,4,2,1,160,3,,,,,7,1,100,4,2,1,160,3,,
10201,,2016,10,26,19,18,43,10,6.1,6.1,,,,,,7,ITALY,,ITALY:  VISSO, USSITA,42.956,13.067,130,1,1,,,,1,,4,,,1001,4,1,1,,,,1,,4,,,1001,4,
10202,,2016,10,30,6,40,5,9,6.6,6.6,,,,,,7,ITALY,,ITALY: NORCIA,42.84,13.11,130,2,1,,,20,1,200,4,,1,,4,2,1,,,20,1,200,4,,1,,4,,
10204,,2016,11,7,1,44,7,3,5,5,,,,,,6,USA,OK,USA: OKLAHOMA:  CUSHING,35.988,-96.805,150,,,,,,1,20,3,,,50,1,,,,,,1,20,3,,,50,1,,
10206,Tsu,2016,11,13,11,2,34,15,7.8,7.8,,,,,,8,NEW ZEALAND,,NEW ZEALAND:  AMBERLEY,-42.737,173.054,170,2,1,,,,,,2,,,,1,2,1,,,,,3900,4,1,1,,1,,
10209,Tsu,2016,11,21,20,59,27,9,6.9,6.9,,,,,,7,JAPAN,,JAPAN: NEAR E COAST HONSHU,37.393,141.387,30,,,,,15,1,,1,,,,,,,,,15,1,,1,,,,,,
10211,Tsu,2016,11,24,18,43,    ,33,6.9,6.9,,,,,,5,NICARAGUA,,NICARAGUA,11.96,-88.835,100,,,,,,,,,,,,,,,,,,,,,,,,,,
10386,,2016,11,25,14,25,11,17,6.6,6.6,,,,,,7,CHINA,,CHINA:  XINJIANG PROVINCE:  KASHGAR,39.273,73.978,40,1,1,,,,,5.5,3,,2,,,1,1,,,,,5.5,3,,2,,,,
